epoch,time,lr,loss,acc,val_loss,val_acc
1,7.958005199999661,0.1,1.9038603506088256,30.8075,1.5252237274169922,45.5
2,7.998328399999991,0.1,1.392822984790802,50.48,1.3103528412818908,53.03
3,7.964577400000053,0.1,1.1633047404289245,59.2,1.0987647472381592,61.18
4,7.9639751999998225,0.1,1.0005210384368897,65.185,1.0025348711013793,65.31
5,8.024230699999862,0.1,0.8867421054840088,69.4325,0.9447082937240601,67.21
